,importance
plan_Expected_Impact_Value,0.8384092516010226
Cost_per_Impact,0.07987637907822202
plan_Planned_Cost_EUR,0.0031053920728920546
Internal_Participants,0.0028374035183182564
Category_Health,0.002291476482605182
plan_Planned_Internal_Volunteers,0.0017879323728515755
plan_Activity_Type_Telemedicine awareness campaign,0.001700852895195916
plan_Category_Health,0.0015485265700133344
plan_Organization_len,0.0014282275078433145
plan_Duration_Months,0.0014078702071269767
exec_date_day,0.0013688278885304363
plan_Sustainability_Score,0.001350148943073037
Organizer_len,0.0013496791922840805
External_Partners_Count,0.0013333045325642817
External_Partners_Hospital,0.001312001053400177
plan_Organization_HR & EHS,0.001290389693857221
exec_date_month,0.0012627560742513213
plan_External_Entity_len,0.001202536528775585
Collaboration_Nature_Others,0.0011878942277232156
exec_date_dow,0.0011802916457742633
plan_start_dow,0.0011275352277099597
Organizer_HR & EHS,0.0011271012701307866
External_Partners_words,0.001127023906888899
plan_External_Entity_Municipality,0.001071862985452708
plan_start_quarter,0.001054352914159584
Organizer_words,0.001024203317592539
External_Partners_Environmental Association,0.000993075693093008
Participation_Rate,0.0009826870118845026
Activity_Type_Telemedicine awareness campaign,0.0009513376522130801
plan_Activity_Description_len,0.0009216918652102178
plan_start_day,0.000919350071851784
External_Partners_len,0.0008711414770168885
exec_date_quarter,0.0008333265314814899
plan_External_Entity_words,0.0007735327893212872
exec_date_is_month_start,0.0007621301424594016
Year,0.0007159385046706568
plan_start_month,0.0007089768111641122
plan_start_year,0.0007023113083962196
External_Partners_Municipality,0.000677593183771048
plan_Year,0.0006705010985701873
plan_Organization_EHS,0.0006653095502679722
plan_Category_Environment,0.0006448096196970321
plan_Organization_words,0.000639537796550299
exec_date_year,0.0006225406951220775
Organizer_EHS,0.00059768231557474
plan_Activity_Description_words,0.0005941905397383474
External_Partners_Local NGO,0.0005917047845343496
Region_North Africa,0.0005850098493515219
"plan_Activity_Description_School renovation - Tangier plant, Morocco (2024)",0.0005821750239776659
Region_America,0.0005625268945968786
